SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2017,31/12/2017,807.813571
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,190.985285
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,238.675355
B,Mining,Industrial,Petrol,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2017,31/12/2017,2.121987
B,Mining,Industrial,Petrol,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2017,31/12/2017,0.001571
"R, S","Arts, Recreational and Other Services",Commercial,Petrol,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2017,31/12/2017,
"R, S","Arts, Recreational and Other Services",Commercial,Petrol,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2017,31/12/2017,
C113,Dairy Product Manufacturing,Industrial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,7.769937
C21,Primary Metal and Metal Product Manufacturing,Industrial,Fuel Oil,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,575.931871
C14,Wood Product Manufacturing,Industrial,Geothermal,Renewables,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,598.04805
B,Mining,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,920.176059
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,286.676891
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Coal,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,2721.156648
C22-C24,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Industrial,Coal,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,18.854608
"A0111, A0114, A0122",Indoor Cropping,"Agriculture, Forestry and Fishing",Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,1314.146085
B,Mining,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,146.101856
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,1648.485451
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,965.0324
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Natural Gas,Fossil Fuels,Industrial Ovens,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2017,31/12/2017,449.044279
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,2313.658545
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,219.254096
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,266.477722
E,Construction,Industrial,Natural Gas,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2017,31/12/2017,507.221821
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Fuel Oil,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,0.913063
F36,Wholesale Trade - Food,Commercial,Fuel Oil,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,0.094947
G41,Retail Trade - Food,Commercial,Fuel Oil,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,0.156189
H,Accommodation and Food Services,Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,7.263104
H,Accommodation and Food Services,Commercial,Fuel Oil,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,2.027128
"K, L, M, N72","Financing, Insurance, Real Estate and Business Services",Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,11.826075
"O751, O752, O754, O755, O77",Public Administration and Safety,Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,0.035887
"O751, O752, O754, O755, O77",Public Administration and Safety,Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,0.574187
O76,Defence,Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,0.468332
O76,Defence,Commercial,Fuel Oil,Fossil Fuels,Internal Combustion Engine (Sea Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2017,31/12/2017,31.288105
O76,Defence,Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,1.200185
P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,1.075957
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,0.546778
Q,Health Care and Social Assistance,Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,1.046178
"R, S","Arts, Recreational and Other Services",Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,0.062511
"R, S","Arts, Recreational and Other Services",Commercial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,2.098985
Z001,Residential,Residential,Wood,Renewables,"Burner, with Wetback",Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,1589.14343
Z001,Residential,Residential,Wood,Renewables,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,6066.803322
B,Mining,Industrial,Diesel,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2017,31/12/2017,457.160056
A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2017,31/12/2017,186.547621
A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2017,31/12/2017,4.129961
A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2017,31/12/2017,35.894227
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2017,31/12/2017,180.119447
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2017,31/12/2017,6.067066
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2017,31/12/2017,38.404431
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,80.236313
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,29.63226
E,Construction,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2017,31/12/2017,772.591576
E,Construction,Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2017,31/12/2017,17.514307
E,Construction,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2017,31/12/2017,144.365737
E,Construction,Industrial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,407.522946
P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,39.951031
P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Electricity,Electricity,Refrigeration Systems,Heat/Cooling Devices,Refrigeration,Heating/Cooling,Non-Transport,2017,31/12/2017,1.976555
P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2017,31/12/2017,36.012401
P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2017,31/12/2017,293.212187
P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,1060.571729
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,83.334145
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Electricity,Electricity,Heat Pump (for Cooling),Heat/Cooling Devices,Space Cooling,Heating/Cooling,Non-Transport,2017,31/12/2017,126.159034
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2017,31/12/2017,10.849162
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2017,31/12/2017,74.328912
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2017,31/12/2017,298.944737
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,20.120265
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,278.839338
E,Construction,Industrial,Petrol,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2017,31/12/2017,40.358061
E,Construction,Industrial,Petrol,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2017,31/12/2017,1.229038
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Diesel,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,387.997933
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2017,31/12/2017,345.717069
C113,Dairy Product Manufacturing,Industrial,Geothermal,Renewables,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2017,31/12/2017,139.201345
A,Unknown,"Agriculture, Forestry and Fishing",Geothermal,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,428.056331
A,Unknown,"Agriculture, Forestry and Fishing",Natural Gas,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,134.819683
A,Unknown,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,99.78751
B-E,Unknown,Industrial,Diesel,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,312.134987
B-E,Unknown,Industrial,Electricity,Electricity,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,258.570656
B-E,Unknown,Industrial,Coal,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,198.975189
B-E,Unknown,Industrial,Natural Gas,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,227.369952
"F-H, I52-I53, J-S",Unknown,Commercial,Biogas,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,260
"F-H, I52-I53, J-S",Unknown,Commercial,Geothermal,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,2407.797964
I52-I53,Unknown,Commercial,Natural Gas,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,310.687138
"F-H, I52-I53, J-S",Unknown,Commercial,Diesel,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,2869.67949
"F-H, I52-I53, J-S",Unknown,Commercial,Petrol,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,611.95582
Z001,Unknown,Residential,Fuel Oil,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,63.589537
Z001,Unknown,Residential,Geothermal,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,221.454135
Z001,Unknown,Residential,Solar,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,364
Z003,Industrial - Unallocated,Industrial,Biogas,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,50.2616
Z003,Industrial - Unallocated,Industrial,Geothermal,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,
Z003,Industrial - Unallocated,Industrial,Electricity,Electricity,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,
Z003,Industrial - Unallocated,Industrial,LPG,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,3399.090831
Z003,Industrial - Unallocated,Industrial,Petrol,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,155.104657
Z003,Industrial - Unallocated,Industrial,Diesel,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,6351.359246
Z003,Industrial - Unallocated,Industrial,Fuel Oil,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,
Z003,Industrial - Unallocated,Industrial,Coal,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2017,31/12/2017,1326.070603
Z002,Road Transport,Transport,LPG,Fossil Fuels,Internal Combustion Engine,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,97.11908753
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,12210.25142239676
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Internal Combustion Engine,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,75748.80878
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Conventional Hybrid Vehicle,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,2942.0216446881223
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Plug-In Hybrid Vehicle,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,335.2039311882576
Z002,Road Transport,Transport,Electricity,Electricity,Plug-In Hybrid Vehicle,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,55.66479182206834
Z002,Road Transport,Transport,Electricity,Electricity,Battery Electric Vehicle,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,382.8349381762805
Z002,Road Transport,Transport,LPG,Fossil Fuels,Internal Combustion Engine,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,34.092517224091885
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,34295.18398914761
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Internal Combustion Engine,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,4609.349683295624
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Conventional Hybrid Vehicle,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,0
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Plug-In Hybrid Vehicle,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,0
Z002,Road Transport,Transport,Electricity,Electricity,Plug-In Hybrid Vehicle,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,0
Z002,Road Transport,Transport,Electricity,Electricity,Battery Electric Vehicle,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2022,31/12/2022,13.784020515704752
Z002,Road Transport,Transport,LPG,Fossil Fuels,Internal Combustion Engine,Medium Truck,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,5.203684747593459
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Medium Truck,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,6172.815889155366
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Internal Combustion Engine,Medium Truck,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,41.20547749
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Heavy Truck,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,12140.911106398691
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Very Heavy Truck,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,32370.04256651672
Z002,Road Transport,Transport,LPG,Fossil Fuels,Internal Combustion Engine,Bus,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,2.945148258
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Bus,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,3237.9998467618548
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Internal Combustion Engine,Bus,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,4.096655009967497
Z002,Road Transport,Transport,Electricity,Electricity,Battery Electric Vehicle,Bus,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2022,31/12/2022,40.99755141594633
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Internal Combustion Engine,Motorcycle,"Motive Power, Mobile",Mobile Motive Power,Other,2022,31/12/2022,549.8698850120971
Z002,Rail Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Passenger Rail,"Motive Power, Mobile",Mobile Motive Power,Rail,2022,31/12/2022,89.7
Z002,Rail Transport,Transport,Electricity,Electricity,Electric Motor,Passenger Rail,"Motive Power, Mobile",Mobile Motive Power,Rail,2022,31/12/2022,188.2
Z002,Rail Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Freight Rail,"Motive Power, Mobile",Mobile Motive Power,Rail,2022,31/12/2022,1581
Z002,Rail Transport,Transport,Electricity,Electricity,Electric Motor,Freight Rail,"Motive Power, Mobile",Mobile Motive Power,Rail,2022,31/12/2022,14.5
Z002,Sea Transport,Transport,Fuel Oil,Fossil Fuels,Internal Combustion Engine,Ship,"Motive Power, Mobile",Mobile Motive Power,Sea Transport,2022,31/12/2022,707.1908194
Z002,Air Transport,Transport,Av. Fuel/Kero,Fossil Fuels,Turbine Engine,Plane,"Motive Power, Mobile",Mobile Motive Power,Air Transport,2022,31/12/2022,15027.75261
Z002,Road Transport,Transport,LPG,Fossil Fuels,Internal Combustion Engine,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,138.86724374827295
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,12350.857948940264
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Internal Combustion Engine,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,76993.15862940169
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Conventional Hybrid Vehicle,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,2995.0386869433737
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Plug-In Hybrid Vehicle,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,165.91344970242125
Z002,Road Transport,Transport,Electricity,Electricity,Plug-In Hybrid Vehicle,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,64.40890968
Z002,Road Transport,Transport,Electricity,Electricity,Battery Electric Vehicle,Light Passenger Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,175.9897042884879
Z002,Road Transport,Transport,LPG,Fossil Fuels,Internal Combustion Engine,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,0.000103314
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,32969.99658808069
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Internal Combustion Engine,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,4814.960830173106
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Conventional Hybrid Vehicle,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,0
Z002,Road Transport,Transport,Petrol,Fossil Fuels,Plug-In Hybrid Vehicle,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,0
Z002,Road Transport,Transport,Electricity,Electricity,Plug-In Hybrid Vehicle,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,0
Z002,Road Transport,Transport,Electricity,Electricity,Battery Electric Vehicle,Light Commercial Vehicle,"Motive Power, Mobile",Mobile Motive Power,Light Vehicles,2021,31/12/2021,6.015034729088654
Z002,Road Transport,Transport,LPG,Fossil Fuels,Internal Combustion Engine,Medium Truck,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2021,31/12/2021,0.000584848
Z002,Road Transport,Transport,Diesel,Fossil Fuels,Internal Combustion Engine,Medium Truck,"Motive Power, Mobile",Mobile Motive Power,Heavy Vehicles,2021,31/12/2021,6058.630296515897
