SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
Q,Health Care and Social Assistance,Commercial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,82.786116
Q,Health Care and Social Assistance,Commercial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,36.053613
Q,Health Care and Social Assistance,Commercial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,83.753411
"A0111, A0114, A0122",Indoor Cropping,"Agriculture, Forestry and Fishing",Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,1515.886904
Z001,Residential,Residential,Coal,Fossil Fuels,"Coal Heaters, Residential Only",Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,236.752088
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Natural Gas,Fossil Fuels,Industrial Ovens,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2021,31/12/2021,371.591783
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,1914.591827
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,181.436496
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,220.514851
Q,Health Care and Social Assistance,Commercial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,1473.047711
Z001,Residential,Residential,Natural Gas,Fossil Fuels,Gas Water Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,2926.532292
Z001,Residential,Residential,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,3988.602328
Z001,Residential,Residential,Natural Gas,Fossil Fuels,"Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)",Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2021,31/12/2021,275.661628
Z001,Residential,Residential,Petrol,Fossil Fuels,Internal Combustion Engine (Recreational Marine),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2021,31/12/2021,13902.3523
J,Information Media and Telecommunications,Commercial,Diesel,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,0.974331
"A0111, A0114, A0122",Indoor Cropping,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,280.242286
"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Non-Dairy Agriculture,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2021,31/12/2021,212.423378
"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Non-Dairy Agriculture,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,263.345742
